SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,89NWK_KJ,       16.47
01/19/2016 09:55:12,N,8EB,       16.56
01/19/2016 09:55:12,N,8_EB,       16.41
01/19/2016 09:55:12,N,8_EBUS,       16.52
01/19/2016 09:55:12,N,9411,       16.54
01/19/2016 09:55:12,N,9BB3_EB,       16.59
01/19/2016 09:55:12,N,9_EBUS,       16.52
01/19/2016 09:55:12,N,AAPIPELN_KM,       16.56
01/19/2016 09:55:12,N,AAPIPELN_WT,       16.56
01/19/2016 09:55:12,N,ABBOTT1X,       16.47
01/19/2016 09:55:12,N,ABBYBEND,       16.48
01/19/2016 09:55:12,N,ABCC_L_A,       16.52
01/19/2016 09:55:12,N,ABCG_L_A,       16.53
01/19/2016 09:55:12,N,ABCR_L_A,       16.52
01/19/2016 09:55:12,N,ABD1_L_A,       16.52
01/19/2016 09:55:12,N,ABD2_L_A,       16.52
01/19/2016 09:55:12,N,ABD3_L_A,       16.52
01/19/2016 09:55:12,N,ABEA_138BUS1,       16.52
01/19/2016 09:55:12,N,ABEA_138BUS2,       16.52
01/19/2016 09:55:12,N,ABEA_L_A,       16.52
01/19/2016 09:55:12,N,ABEA_V_A,       16.52
01/19/2016 09:55:12,N,ABEA_V_B,       16.52
01/19/2016 09:55:12,N,ABEC_L_A,       16.52
01/19/2016 09:55:12,N,ABEC_L_B,       16.52
01/19/2016 09:55:12,N,ABEC_V_A,       16.52
01/19/2016 09:55:12,N,ABEC_V_B,       16.52
01/19/2016 09:55:12,N,ABED_K,       16.52
01/19/2016 09:55:12,N,ABHT_L_A,       16.52
01/19/2016 09:55:12,N,ABINDUST_K,       16.52
01/19/2016 09:55:12,N,ABINDUST_KX,       16.52
01/19/2016 09:55:12,N,ABLSPRRC_K,       16.47
01/19/2016 09:55:12,N,ABLSPRRC_KX,       16.47
01/19/2016 09:55:12,N,ABMB_V_A,       16.52
01/19/2016 09:55:12,N,ABMB_V_B,       16.52
01/19/2016 09:55:12,N,ABMB_V_D,       16.52
01/19/2016 09:55:12,N,ABMB_V_E,       16.52
01/19/2016 09:55:12,N,ABMM_L_A,       16.52
01/19/2016 09:55:12,N,ABMM_L_B,       16.52
01/19/2016 09:55:12,N,ABMS_L_A,       16.52
01/19/2016 09:55:12,N,ABNW_V_A,       16.52
01/19/2016 09:55:12,N,ABNW_V_B,       16.52
01/19/2016 09:55:12,N,ABNW_V_C,       16.52
01/19/2016 09:55:12,N,ABNW_V_D,       16.52
01/19/2016 09:55:12,N,ABOM_L_A,       16.52
01/19/2016 09:55:12,N,ABON_L_A,       16.52
01/19/2016 09:55:12,N,ABOV_L_A,       16.52
01/19/2016 09:55:12,N,ABOV_V_A,       16.52
01/19/2016 09:55:12,N,ABPG_L_A,       16.52
01/19/2016 09:55:12,N,ABPG_L_B,       16.52
01/19/2016 09:55:12,N,ABPG_V_A,       16.52
01/19/2016 09:55:12,N,ABRAMS1_8Z,       16.47
01/19/2016 09:55:12,N,ABRAMS2_8Y,       16.47
01/19/2016 09:55:12,N,ABRC_L_A,       16.52
01/19/2016 09:55:12,N,ABRC_V_A,       16.52
01/19/2016 09:55:12,N,ABRL_L_A,       16.52
01/19/2016 09:55:12,N,ABRP_L_A,       16.52
01/19/2016 09:55:12,N,ABSH_L_A,       16.52
01/19/2016 09:55:12,N,ABSH_L_B,       16.52
01/19/2016 09:55:12,N,ABSH_V_A,       16.52
01/19/2016 09:55:12,N,ABSO_BUS2,       16.52
01/19/2016 09:55:12,N,ABSO_V_A,       16.52
01/19/2016 09:55:12,N,ABSO_V_B,       16.53
01/19/2016 09:55:12,N,ABTT_L_A,       16.52
01/19/2016 09:55:12,N,ABVO_L_A,       16.52
01/19/2016 09:55:12,N,ABWA_L_A,       16.52
01/19/2016 09:55:12,N,ABWG_L_B,       16.52
01/19/2016 09:55:12,N,ACA_LD1,       16.59
01/19/2016 09:55:12,N,ACHEV_9,       16.54
01/19/2016 09:55:12,N,ACKERLY_9X,       16.54
01/19/2016 09:55:12,N,ACKRLNTC_9X,       16.54
01/19/2016 09:55:12,N,ACLINE_EB,       16.56
01/19/2016 09:55:12,N,ACME_L_A,       16.51
01/19/2016 09:55:12,N,ACTON,       16.48
01/19/2016 09:55:12,N,ADERHOLD_L_A,       11.47
01/19/2016 09:55:12,N,ADERHOLD_L_B,       11.47
01/19/2016 09:55:12,N,ADICKS_138D,       16.30
01/19/2016 09:55:12,N,ADICKS_138N,       16.30
01/19/2016 09:55:12,N,ADICKS_345C,       16.30
01/19/2016 09:55:12,N,ADICKS__138B,       16.30
01/19/2016 09:55:12,N,ADICKS__345A,       16.30
01/19/2016 09:55:12,N,ADICKS__8030,       16.30
01/19/2016 09:55:12,N,ADK_V_C,       16.30
01/19/2016 09:55:12,N,ADOBEMEW_8X,       16.55
01/19/2016 09:55:12,N,ADRHLD_TMP,       11.47
01/19/2016 09:55:12,N,ADSN1_8V,       16.47
01/19/2016 09:55:12,N,ADSN1_8W,       16.47
01/19/2016 09:55:12,N,ADVANCE,       16.49
01/19/2016 09:55:12,N,ADVANCE_K,       16.49
01/19/2016 09:55:12,N,ADVANCE_KH,       16.49
